B3,00,00,06,00:00:00:00:00:00:91:4A
3A,00,00,07,00:00:0E:00:00:24:E0:53
25,00,00,08,00:95:0F:FA:7A:7A:7A:39
39,00,00,04,00:00:00:00:56:02:0B:A0
3E,00,00,03,00:00:00:00:00:17:48:A0
3B,00,00,05,00:00:00:00:21:00:E0:41
25,00,00,08,00:95:0F:FA:7A:7A:7A:39
3E,00,00,03,00:00:00:00:00:17:48:A0
38,00,00,07,00:C0:00:08:0E:00:00:15
3A,00,00,07,00:00:0E:00:00:24:E0:53
B4,00,00,08,00:00:00:00:00:00:00:BC
38,00,00,07,00:C0:00:08:0E:00:00:15
3E,00,00,03,00:00:00:00:00:17:48:A0
3C9,00,00,08,03:FF:21:02:AF:03:38:E3
B1,00,00,06,00:00:00:00:00:00:91:48
3CF,00,00,05,00:00:00:10:13:2D:04:2B
38,00,00,07,00:C0:00:08:0E:00:00:15
3A,00,00,07,00:00:0E:00:00:24:DF:52
3B,00,00,05,00:00:00:00:21:00:E1:42
39,00,00,04,00:00:00:00:56:02:0B:A0
B3,00,00,06,00:00:00:00:00:00:91:4A
3B,00,00,05,00:00:00:00:20:00:E0:40
25,00,00,08,00:95:0F:FA:7C:7C:7C:3F
3E,00,00,03,00:00:00:00:00:17:48:A0
B3,00,00,06,00:00:00:00:00:00:91:4A
3A,00,00,07,00:00:0E:00:00:24:E0:53
25,00,00,08,00:95:0F:FA:7B:7B:7B:3C
38,00,00,07,00:C0:00:08:0E:00:00:15
3E,00,00,03,00:00:00:00:00:17:48:A0
120,00,00,08,00:00:00:00:10:13:04:50
25,00,00,08,00:95:0F:FA:7A:7A:7A:39
3B,00,00,05,00:00:00:00:21:00:E0:41
B3,00,00,06,00:00:00:00:00:00:91:4A
3C8,00,00,06,00:00:40:28:00:00:00:39
25,00,00,08,00:95:0F:FA:7C:7C:7C:3F
39,00,00,04,00:00:00:00:56:02:0B:A0
3E,00,00,03,00:00:00:00:00:17:48:A0
3B,00,00,05,00:00:00:00:22:00:E0:42
25,00,00,08,00:95:0F:FA:7A:7A:7A:39
3B,00,00,05,00:00:00:00:22:00:E0:42
4C3,00,00,08,03:00:03:01:00:00:00:00
527,00,00,03,00:00:00:00:00:24:01:FF
25,00,00,08,00:95:0F:FA:7B:7B:7B:3C
39,00,00,04,00:00:00:00:56:02:0B:A0
3B,00,00,05,00:00:00:00:22:00:E0:42
120,00,00,08,00:00:00:00:10:13:04:50
B1,00,00,06,00:00:00:00:00:00:91:48
3B,00,00,05,00:00:00:00:20:00:E1:41
3CB,00,00,07,00:69:7D:00:62:24:22:63
3A,00,00,07,00:00:0E:00:00:24:E0:53
B4,00,00,08,00:00:00:00:00:00:00:BC
39,00,00,04,00:00:00:00:56:02:0B:A0
B3,00,00,06,00:00:00:00:00:00:91:4A
38,00,00,07,00:C0:00:08:0E:00:00:15
B4,00,00,08,00:00:00:00:00:00:00:BC
3E,00,00,03,00:00:00:00:00:17:48:A0
B3,00,00,06,00:00:00:00:00:00:91:4A
3B,00,00,05,00:00:00:00:21:00:E1:42
25,00,00,08,00:95:0F:FA:7D:7D:7D:42
39,00,00,04,00:00:00:00:56:02:0B:A0
262,00,00,04,00:00:00:00:00:01:00:69
120,00,00,08,00:00:00:00:10:13:04:50
B4,00,00,08,00:00:00:00:00:00:00:BC
3E,00,00,03,00:00:00:00:00:17:48:A0
3CA,00,00,05,00:00:00:00:3B:00:00:0D
3B,00,00,05,00:00:00:00:22:00:E0:42
120,00,00,08,00:00:00:00:10:13:04:50
39,00,00,04,00:00:00:00:56:02:0B:A0
3E,00,00,03,00:00:00:00:00:17:48:A0
38,00,00,07,00:C0:00:08:0E:00:00:15
3B,00,00,05,00:00:00:00:22:00:E0:42
3E,00,00,03,00:00:00:00:00:17:48:A0
38,00,00,07,00:C0:00:08:0E:00:00:15
262,00,00,04,00:00:00:00:00:01:00:69
B4,00,00,08,00:00:00:00:00:00:00:BC
3A,00,00,07,00:00:0E:00:00:24:E0:53
3E,00,00,03,00:00:00:00:00:17:48:A0
120,00,00,08,00:00:00:00:10:13:04:50
22,00,00,08,01:F6:01:F9:00:00:00:1B
3E,00,00,03,00:00:00:00:00:17:48:A0
38,00,00,07,00:C0:00:08:0E:00:00:15
3E,00,00,03,00:00:00:00:00:17:48:A0
23,00,00,07,00:01:FE:01:EF:00:00:19
3CD,00,00,05,00:00:00:00:00:00:E0:B5
3E,00,00,03,00:00:00:00:00:17:48:A0
38,00,00,07,00:C0:00:08:0E:00:00:15
22,00,00,08,01:F6:01:F9:00:00:00:1B
120,00,00,08,00:00:00:00:10:13:04:50
38,00,00,07,00:C0:00:08:0E:00:00:15
3E,00,00,03,00:00:00:00:00:17:48:A0
23,00,00,07,00:01:FE:01:EF:00:00:19
3A,00,00,07,00:00:0E:00:00:24:DF:52
3E,00,00,03,00:00:00:00:00:17:48:A0
262,00,00,04,00:00:00:00:00:01:00:69
23,00,00,07,00:01:FE:01:EF:00:00:19
3E,00,00,03,00:00:00:00:00:17:48:A0
3B,00,00,05,00:00:00:00:22:00:E0:42
3E,00,00,03,00:00:00:00:00:17:48:A0
23,00,00,07,00:01:FE:01:EF:00:00:19
3A,00,00,07,00:00:0E:00:00:24:DF:52
3CF,00,00,05,00:00:00:10:13:2D:04:2B
38,00,00,07,00:C0:00:08:0E:00:00:15
23,00,00,07,00:01:FE:01:EF:00:00:19
120,00,00,08,00:00:00:00:10:13:04:50
3B,00,00,05,00:00:00:00:21:00:E0:41
3E,00,00,03,00:00:00:00:00:17:48:A0
23,00,00,07,00:01:FE:01:EF:00:00:19
3A,00,00,07,00:00:0E:00:00:24:E0:53
3E,00,00,03,00:00:00:00:00:17:48:A0
38,00,00,07,00:C0:00:08:0E:00:00:15
23,00,00,07,00:01:FE:01:EF:00:00:19
3E,00,00,03,00:00:00:00:00:17:48:A0
262,00,00,04,00:00:00:00:00:01:00:69
3E,00,00,03,00:00:00:00:00:17:48:A0
23,00,00,07,00:01:FE:01:EF:00:00:19
3A,00,00,07,00:00:0E:00:00:24:E0:53
3E,00,00,03,00:00:00:00:00:17:48:A0
38,00,00,07,00:C0:00:08:0E:00:00:15
3C8,00,00,06,00:00:40:28:00:00:00:39
120,00,00,08,00:00:00:00:10:13:04:50
38,00,00,07,00:C0:00:08:0E:00:00:15
3E,00,00,03,00:00:00:00:00:17:48:A0
3B,00,00,05,00:00:00:00:21:00:E1:42
3A,00,00,07,00:00:0E:00:00:24:DF:52
3E,00,00,03,00:00:00:00:00:17:48:A0
38,00,00,07,00:C0:00:08:0E:00:00:15
348,00,00,06,00:00:00:01:00:00:00:52
3E,00,00,03,00:00:00:00:00:17:48:A0
